DIPG10 (WT),3-Deazaneplanocin A (nM),Surviving Fraction,,,
,31.622777,0.848702,0.899731,1.001791,
,100,0.663384,0.566697,0.59624,
,316.227766,0.333035,0.341092,0.443151,
,1000,0.225604,0.136974,0.166517,
,3162.27766,0.110116,0.102059,0.085944,
,10000,0.083259,0.091316,0.077887,
,,,,,
,Axitinib (nM),Surviving Fraction,,,
,0,0.938161,0.916192,1.145647,
,1,0.179007,0.16192,0.188771,
,3.162278,0.117982,0.139951,0.132628,
,10,0.081367,0.105777,0.142392,
,31.622777,0.071603,0.056957,0.08869,
,100,0.037429,0.025224,0.044752,
,316.227766,0.01546,0.003255,0.01546,
,1000,0.027665,0.003255,0.025224,
,3162.27766,0.022783,0.022783,0.010578,
,10000,0.020342,0.032547,0.042311,
,,,,,
,Cladribine (nM),Surviving Fraction,,,
,0,1.030192,0.879231,1.090576,
,1,1.329369,1.36505,1.216834,
,3.162278,1.203111,1.329369,1.323879,
,10,1.408966,1.565416,1.241537,
,31.622777,1.351327,1.005489,1.164684,
,100,0.898445,0.83806,0.769442,
,316.227766,0.591034,0.626715,0.950595,
,1000,0.462031,0.519671,0.500457,
,3162.27766,0.376944,0.549863,0.448307,
,10000,0.36322,0.344007,0.494968,
,,,,,
,,,,,
GBM2 (M),3-Deazaneplanocin A (nM),Surviving Fraction,,,
,0,0.735358,1.093275,1.171367,
,1,0.741866,0.86551,0.995662,
,3.162278,0.605206,0.976139,1.184382,
,10,0.89154,0.956616,1.106291,
,31.622777,0.650759,0.696312,0.774403,
,100,0.872017,0.741866,0.819957,
,316.227766,0.819957,0.650759,0.872017,
,1000,0.845987,0.767896,0.89154,
,3162.27766,0.72885,0.683297,0.657267,
,10000,0.72885,0.72885,0.722343,
,,,,,
,Axitinib (nM),Surviving Fraction,,,
,0,0.942748,0.965649,1.091603,
,1,0.85687,0.919847,0.965649,
,3.162278,0.765267,0.971374,1.045802,
,10,0.685115,0.719466,0.965649,
,31.622777,0.650763,0.553435,0.725191,
,100,0.501908,0.450382,0.622137,
,316.227766,0.341603,0.23855,0.39313,
,1000,0.26145,0.284351,0.23855,
,3162.27766,0.307252,0.278626,0.272901,
,10000,0.347328,0.347328,0.387405,
,,,,,
,Cladribine (nM),Surviving Fraction,,,
,0,1.037113,1.024742,0.938144,
,1,0.826804,0.894845,0.901031,
,3.162278,0.919588,0.863918,0.795876,
,10,0.987629,0.62268,0.659794,
,31.622777,0.579381,0.56701,0.573196,
,100,0.51134,0.523711,0.498969,
,316.227766,0.461856,0.45567,0.740206,
,1000,0.443299,0.381443,0.362887,
,3162.27766,0.449485,0.505155,0.4,
,10000,0.498969,0.517526,0.474227,
,,,,,
,,,,,
GBM1 (WT),3-Deazaneplanocin A (nM),Surviving Fraction,,,
,0,1.006843,1.076989,0.916168,
,1,0.893926,0.84089,0.833191,
,3.162278,0.88195,0.962361,0.887083,
,10,0.901625,0.911035,0.952096,
,31.622777,0.721129,0.829769,0.772455,
,100,0.693755,0.75278,0.706587,
,316.227766,0.446536,0.431993,0.536356,
,1000,0.294269,0.295124,0.374679,
,3162.27766,0.218135,0.218991,0.221557,
,10000,0.143713,0.130026,0.135158,
,,,,,
,Axitinib (nM),Surviving Fraction,,,
,0,0.971492,0.951564,1.076944,
,1,0.12289,0.108774,0.143648,
,3.162278,0.110435,0.092167,0.106283,
,10,0.106283,0.088015,0.106283,
,31.622777,0.066427,0.058954,0.068087,
,100,0.046499,0.052311,0.044008,
,316.227766,0.037365,0.035704,0.032383,
,1000,0.044838,0.032383,0.034874,
,3162.27766,0.039856,0.042347,0.044008,
,10000,0.045668,0.048159,0.052311,
,,,,,
,Cladribine (nM),Surviving Fraction,,,
,0,1.025081,1.032163,0.942756,
,1,1.083505,0.971083,1.044556,
,3.162278,1.010918,0.933904,0.873709,
,10,0.662142,0.731189,0.725878,
,31.622777,0.380643,0.40897,0.371791,
,100,0.213337,0.221304,0.240779,
,316.227766,0.198289,0.200944,0.211567,
,1000,0.186781,0.228386,0.212452,
,3162.27766,0.209796,0.247861,0.254942,
,10000,0.233697,0.260254,0.270876,
,,,,,
BT245,3-Deazaneplanocin A (nM),Surviving Fraction,,,
,0,1.238219895,1.890052356,2.17539267,
,1,2.27486911,3.59947644,3.219895288,
,3.162278,2.518324607,3.45026178,3.235602094,
,10,2.884816754,3.235602094,2.884816754,
,31.622777,2.222513089,2.219895288,2.452879581,
,100,1.952879581,2.222513089,1.845549738,
,316.227766,1.062827225,1.463350785,1.062827225,
,1000,0.816753927,0.997382199,0.706806283,
,3162.27766,1.09947644,0.782722513,0.69895288,
,10000,1.028795812,1.083769634,0.887434555,
,,,,,
DIPG7,3-Deazaneplanocin A (nM),Surviving Fraction,,,
,0,1.02074392,1.063662375,1.08297568,
,1,1.550786838,1.419885551,2.117310443,
,3.162278,1.168812589,1.432761087,1.743919886,
,10,1.010014306,1.383404864,1.576537911,
,31.622777,0.945636624,1.113018598,1.542203147,
,100,1.638769671,1.827610873,1.441344778,
,316.227766,0.724606581,1.164520744,1.271816881,
,1000,0.829756795,0.821173104,1.001430615,
,3162.27766,0.718168813,0.949928469,0.69241774,
,10000,1.040057225,1.063662375,0.896280401,
,,,,,
DIPG4,Axitinib(nM),Surviving Fraction,,,
,0,2.27451,2.745098,1.892157,
,1,2.862745,2.45098,2.156863,
,3.162278,2.862745,2.362745,2.098039,
,10,1.95098,2.27451,2.686275,
,31.622777,1.598039,2.921569,1.098039,
,100,1.480392,2.009804,1.362745,
,316.227766,1.362745,1.009804,1.039216,
,1000,0.980392,0.980392,1.068627,
,3162.27766,1.068627,1.303922,0.77451,
,10000,1.127451,1.127451,0.745098,
,,,,,
DIPG4,Cladribine,Survivng Fraction,,,
,0,2.333333,2.039216,2.362745,
,1,2.892157,2.039216,1.862745,
,3.162278,1.95098,2.27451,1.862745,
,10,1.862745,1.509804,1.686275,
,31.622777,1.480392,1.27451,1.745098,
,316.227766,1.480392,2.27451,1.303922,
,1000,1.215686,1.303922,1.833333,
,3162.27766,1.245098,1.303922,0.921569,
,,,,,
DIPG4,3-Deazaneplanocin A (nM),Surviving Fraction,,,
,0,1.515873,1.396825,1.777778,1.515873
,1,1.515873,1.801587,1.277778,1.277778
,3.162278,1.539683,1.468254,1.253968,0.992063
,10,2.230159,1.134921,1.753968,1.325397
,31.622777,1.468254,1.063492,1.230159,1.111111
,100,1.492063,0.944444,1.301587,1.18254
,316.227766,1.492063,0.992063,1.039683,1.206349
,1000,1.325397,1.063492,1.015873,0.920635
,3162.27766,1.15873,1.111111,0.920635,1.087302
,10000,0.992063,1.134921,0.873016,0.920635
