gene_id	gene_name	gene_biotype	PH7MLH_1_tpm	PH7MLH_1_count	PH7MLH_2_count	PH7MLH_2_count
ENSG00000005022	SLC25A5	protein_coding	1456.210696	1456.210696	2004.653295	2004.653295
ENSG00000005059	MCUB	protein_coding	40.55820044	40.55820044	54.9477564	54.9477564
ENSG00000005073	HOXA11	protein_coding	0.081480968	0.081480968	0	0
ENSG00000005075	POLR2J	protein_coding	247.0250982	247.0250982	400.0928823	400.0928824
ENSG00000005100	DHX33	protein_coding	46.48859403	46.48859403	40.48328526	40.48328525
ENSG00000005102	MEOX1	protein_coding	0.487971661	0.487971661	0	0
ENSG00000005108	THSD7A	protein_coding	2.390904668	2.390904667	1.402752448	1.402752448
ENSG00000005156	LIG3	protein_coding	4.389926257	4.389926257	7.56701449	7.567014489
ENSG00000005175	RPAP3	protein_coding	12.38202328	12.38202328	15.97042229	15.97042229
ENSG00000005187	ACSM3	protein_coding	0.178659029	0.17865903	1.014386141	1.014386141
ENSG00000005189	REXO5	protein_coding	4.735095905	4.735095905	18.79165695	18.79165695
ENSG00000005194	CIAPIN1	protein_coding	28.31753251	28.3175325	39.32050125	39.32050124
ENSG00000005206	SPPL2B	protein_coding	5.260254725	5.260254725	5.440870775	5.440870775
ENSG00000005238	ATOSB	protein_coding	3.974400446	3.974400448	1.344735069	1.344735069
ENSG00000005243	COPZ2	protein_coding	7.622754562	7.622754563	1.272950031	1.272950031
ENSG00000005249	PRKAR2B	protein_coding	5.171013828	5.171013829	0.77517792	0.77517792
ENSG00000005302	MSL3	protein_coding	5.636945848	5.636945847	2.84070904	2.840709041
ENSG00000005339	CREBBP	protein_coding	7.193360313	7.193360314	7.64197652	7.64197652
ENSG00000005379	TSPOAP1	protein_coding	0.09547489	0.09547489	0.043366811	0.043366811
ENSG00000005381	MPO	protein_coding	0	0	0	0
ENSG00000005421	PON1	protein_coding	0	0	0	0
ENSG00000005436	GCFC2	protein_coding	16.19911863	16.19911863	11.95443014	11.95443014
ENSG00000005448	WDR54	protein_coding	28.17646666	28.17646666	50.3885735	50.38857351
ENSG00000005469	CROT	protein_coding	3.502859384	3.502859384	5.559182514	5.559182513
ENSG00000005471	ABCB4	protein_coding	1.968018188	1.968018188	2.265199064	2.265199063
ENSG00000005483	KMT2E	protein_coding	14.56276824	14.56276824	23.86809175	23.86809174
ENSG00000005486	RHBDD2	protein_coding	49.00409168	49.00409168	29.52690615	29.52690615
ENSG00000005513	SOX8	protein_coding	44.39020144	44.39020144	48.57858766	48.57858764
ENSG00000005700	IBTK	protein_coding	5.257902842	5.257902843	8.762467091	8.76246709
ENSG00000005801	ZNF195	protein_coding	4.463923141	4.46392314	7.494805823	7.494805824
ENSG00000005810	MYCBP2	protein_coding	4.238631844	4.238631844	5.098883459	5.098883458
ENSG00000005812	FBXL3	protein_coding	5.642376283	5.642376282	7.240885514	7.240885514
ENSG00000005844	ITGAL	protein_coding	0	0	0.108404652	0.108404652
ENSG00000005882	PDK2	protein_coding	0.741029657	0.741029658	3.011613487	3.011613487
ENSG00000005884	ITGA3	protein_coding	3.548402264	3.548402263	0.80588148	0.80588148
ENSG00000005889	ZFX	protein_coding	3.891773077	3.891773077	1.818304964	1.818304964
ENSG00000005893	LAMP2	protein_coding	19.03455017	19.03455017	31.09653274	31.09653275
ENSG00000005961	ITGA2B	protein_coding	0.534330967	0.534330967	0.520082076	0.520082076
ENSG00000005981	ASB4	protein_coding	0	0	0	0
ENSG00000006007	GDE1	protein_coding	47.06129123	47.06129123	33.02072975	33.02072975
ENSG00000006015	REX1BD	protein_coding	36.40668483	36.40668483	13.25574359	13.25574359
ENSG00000006016	CRLF1	protein_coding	0.120283575	0.120283575	0.068294332	0.068294332
ENSG00000006025	OSBPL7	protein_coding	0.381921915	0.381921915	1.843197366	1.843197366
ENSG00000006042	TMEM98	protein_coding	36.22121832	36.22121832	13.41459125	13.41459125
ENSG00000006047	YBX2	protein_coding	1.267925502	1.267925502	1.33314784	1.33314784
ENSG00000006059	KRT33A	protein_coding	0	0	0	0
ENSG00000006062	MAP3K14	protein_coding	0.577752143	0.577752143	0.849031213	0.849031213
ENSG00000006071	ABCC8	protein_coding	0.359076527	0.359076527	0.154039378	0.154039378
ENSG00000006116	CACNG3	protein_coding	0	0	0	0
ENSG00000006118	TMEM132A	protein_coding	11.4506524	11.45065239	12.3238503	12.3238503
ENSG00000006125	AP2B1	protein_coding	15.18333346	15.18333346	33.76263538	33.76263537
ENSG00000006128	TAC1	protein_coding	0	0	0	0
ENSG00000006194	ZNF263	protein_coding	3.167448714	3.167448714	4.362400351	4.362400351
ENSG00000006210	CX3CL1	protein_coding	11.56692065	11.56692065	5.59371834	5.593718339
ENSG00000006282	SPATA20	protein_coding	2.484149815	2.484149815	0.248902038	0.248902039
ENSG00000006283	CACNA1G	protein_coding	0.021613268	0.021613268	0.024543064	0.024543064
ENSG00000006327	TNFRSF12A	protein_coding	151.495128	151.495128	45.47319222	45.47319222
ENSG00000006377	DLX6	protein_coding	3.724496232	3.724496232	0.143368538	0.143368538
ENSG00000006432	MAP3K9	protein_coding	1.00868601	1.00868601	1.932271814	1.932271814
ENSG00000006451	RALA	protein_coding	35.84714896	35.84714896	52.60242845	52.60242846
ENSG00000006453	BAIAP2L1	protein_coding	2.364318625	2.364318625	0.101313767	0.101313767
ENSG00000006459	KDM7A	protein_coding	0.690389536	0.690389536	3.867612835	3.867612834
ENSG00000006468	ETV1	protein_coding	61.11834821	61.1183482	143.2825684	143.2825684
ENSG00000006530	AGK	protein_coding	6.391815174	6.391815175	6.305732721	6.305732721
ENSG00000006534	ALDH3B1	protein_coding	1.934608039	1.934608039	2.35838806	2.35838806
ENSG00000006555	TTC22	protein_coding	0	0	0	0
ENSG00000006576	PHTF2	protein_coding	11.40686271	11.40686272	20.56765138	20.56765138
ENSG00000006606	CCL26	protein_coding	0	0	0.351283506	0.351283508
ENSG00000006607	FARP2	protein_coding	11.31815676	11.31815676	17.18615158	17.18615159
ENSG00000006611	USH1C	protein_coding	0.088691967	0.088691967	0	0
ENSG00000006625	GGCT	protein_coding	144.677503	144.677503	137.3365047	137.3365047
ENSG00000006634	DBF4	protein_coding	39.72788728	39.72788728	40.40505738	40.40505738
ENSG00000006638	TBXA2R	protein_coding	0.933359243	0.933359243	0.927395999	0.927395999
ENSG00000006652	IFRD1	protein_coding	12.49463522	12.49463522	14.46180455	14.46180455
ENSG00000006659	LGALS14	protein_coding	0	0	0	0
ENSG00000006695	COX10	protein_coding	4.023695671	4.023695672	2.248011666	2.248011666
ENSG00000006704	GTF2IRD1	protein_coding	3.258660387	3.258660387	7.887672233	7.887672232
ENSG00000006712	PAF1	protein_coding	12.95291965	12.95291966	14.96680642	14.96680642
ENSG00000006715	VPS41	protein_coding	5.525221131	5.525221131	11.07395376	11.07395376
ENSG00000006740	ARHGAP44	protein_coding	0.139973849	0.139973849	0.052982687	0.052982687
ENSG00000006744	ELAC2	protein_coding	20.1922361	20.1922361	12.65070511	12.65070511
ENSG00000006747	SCIN	protein_coding	0.147777255	0.147777256	0.041952316	0.041952316
ENSG00000006756	ARSD	protein_coding	2.10348492	2.10348492	0.034870419	0.034870419
ENSG00000006757	PNPLA4	protein_coding	17.23118506	17.23118506	0	0
ENSG00000006788	MYH13	protein_coding	0	0	0	0
ENSG00000006831	ADIPOR2	protein_coding	23.54085968	23.54085968	22.31198526	22.31198526
ENSG00000006837	CDKL3	protein_coding	1.726521941	1.726521941	6.901175904	6.901175904
ENSG00000007001	UPP2	protein_coding	0.360822215	0.360822215	0	0
ENSG00000007038	PRSS21	protein_coding	0	0	0	0
ENSG00000007047	MARK4	protein_coding	4.195982345	4.195982346	6.377747239	6.377747241
ENSG00000007062	PROM1	protein_coding	2.359331195	2.359331195	32.52816915	32.52816916
ENSG00000007080	CCDC124	protein_coding	44.64905455	44.64905455	31.77203286	31.77203286
ENSG00000007129	CEACAM21	protein_coding	0	0	0	0
ENSG00000007168	PAFAH1B1	protein_coding	9.112437825	9.112437826	10.28255677	10.28255677
ENSG00000007171	NOS2	protein_coding	3.542572905	3.542572905	0	0
ENSG00000007174	DNAH9	protein_coding	0.949942747	0.949942747	0.597665105	0.597665105
ENSG00000007202	BLTP2	protein_coding	3.900223509	3.900223511	6.776781083	6.776781084
ENSG00000007216	SLC13A2	protein_coding	0	0	0	0
ENSG00000007237	GAS7	protein_coding	44.18426676	44.18426676	8.686645264	8.686645264
ENSG00000007255	TRAPPC6A	protein_coding	40.05480599	40.05480599	36.49035114	36.49035114
ENSG00000007264	MATK	protein_coding	2.9265023	2.9265023	0	0
ENSG00000007306	CEACAM7	protein_coding	0	0	0	0
ENSG00000007312	CD79B	protein_coding	0	0	0.113489111	0.113489111
ENSG00000007314	SCN4A	protein_coding	0.026382713	0.026382713	0.059918065	0.059918065
ENSG00000007341	ST7L	protein_coding	1.910410032	1.910410032	2.288246397	2.288246397
ENSG00000007350	TKTL1	protein_coding	0.060916724	0.060916724	0	0
ENSG00000007372	PAX6	protein_coding	1.327659318	1.327659318	2.129827533	2.129827533
ENSG00000007376	RPUSD1	protein_coding	22.62405017	22.62405017	7.200553197	7.200553197
ENSG00000007384	RHBDF1	protein_coding	6.338479381	6.33847938	2.855283798	2.855283797
ENSG00000007392	LUC7L	protein_coding	14.62947036	14.62947037	23.12182813	23.12182813
ENSG00000007402	CACNA2D2	protein_coding	0.097711264	0.097711264	0.073971037	0.073971037
ENSG00000007516	BAIAP3	protein_coding	0.696833684	0.696833684	3.199577104	3.199577104
